----------------------------oping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
67252, -8, 416, 95, 890, -178
67353, -8, 416, 95, 890, -178
67454, 3, 411, 53, 875, -176
67556, 14, 406, 10, 860, -173
67657, 25, 401, -33, 840, -170
67758, 36, 396, -75, 820, -166
67859, 47, 391, -118, 795, -162
67960, 58, 386, -160, 770, -158
68061, 69, 381, -203, 735, -153
68162, 80, 376, -245, 700, -147
68263, 82, 377, -239, 650, -141
68364, 84, 378, -234, 600, -134
68465, 86, 379, -228, 555, -125
68566, 88, 380, -223, 510, -117
68667, 90, 381, -217, 450, -109
68768, 92, 382, -211, 390, -99
68869, 94, 383, -206, 360, -90
68970, 96, 384, -200, 330, -81
69071, 79, 346, -177, 300, -73
69172, 62, 308, -154, 270, -66
69274, 45, 270, -131, 240, -59
69376, 28, 232, -108, 210, -52
69477, 11, 194, -84, 180, -45
69578, -6, 156, -61, 150, -39
69680, -23, 118, -38, 125, -32
69781, -40, 80, -15, 100, -27
69882, -35, 70, -13, 80, -21
69983, -30, 60, -11, 60, -16
70084, -25, 50, -9, 45, -12
70185, -20, 40, -8, 30, -8
70287, -15, 30, -6, 20, -5
70388, -10, 20, -4, 10, -2
70489, 0, 0, 0, 0, 0
70590, -5, 31, -1, 10, -1
70691, -10, 62, -1, 20, -3
70792, -15, 93, -2, 35, -6
70893, -20, 124, -3, 50, -9
70994, -25, 155, -3, 70, -12
71095, -30, 186, -4, 90, -16
71196, -35, 217, -4, 110, -20
71297, -40, 248, -5, 130, -23
71398, -44, 258, -16, 155, -28
71499, -48, 268, -28, 180, -32
71600, -52, 278, -39, 210, -37
71701, -56, 288, -50, 240, -42
71802, -60, 298, -61, 270, -48
71903, -64, 308, -73, 300, -53
72004, -68, 318, -84, 320, -59
72105, -72, 328, -95, 340, -64
72207, -51, 327, -102, 365, -68
72308, -30, 326, -109, 390, -73
72409, -9, 325, -116, 420, -78
72510, 12, 324, -123, 450, -84
72611, 33, 323, -129, 485, -90
72712, 54, 322, -136, 520, -96
72813, 75, 321, -143, 565, -102
72914, 96, 320, -150, 610, -110
73015, 85, 321, -189, 635, -117
73116, 74, 322, -229, 660, -123
73217, 63, 323, -268, 680, -129
73318, 52, 324, -308, 700, -135
73419, 41, 325, -347, 715, -139
73520, 30, 326, -386, 730, -143
73621, 19, 327, -426, 740, -147
73722, 8, 328, -465, 750, -149
73823, 10, 341, -459, 770, -152
73925, 12, 354, -453, 790, -156
74027, 14, 367, -446, 800, -159
74128, 16, 380, -440, 810, -162
74229, 18, 393, -434, 815, -163
74330, 20, 406, -428, 820, -164
74431, 22, 419, -421, 825, -165
74532, 24, 432, -415, 830, -166
74633, 20, 430, -351, 840, -168
74734, 16, 428, -288, 850, -170
74835, 12, 426, -224, 855, -171
74936, 8, 424, -160, 860, -172
75037, 4, 422, -96, 865, -173
75138, 0, 420, -33, 870, -174
75239, -4, 418, 31, 880, -176
75340, -8, 416, 95, 890, -178
75441, -8, 416, 95, 890, -178
75542, -8, 416, 95, 890, -178
75643, 3, 411, 53, 875, -176
75744, 14, 406, 10, 860, -173
75845, 25, 401, -33, 840, -170
75947, 36, 396, -75, 820, -166
76048, 47, 391, -118, 795, -162
76149, 58, 386, -160, 770, -158
76250, 69, 381, -203, 735, -153
76351, 80, 376, -245, 700, -147
76452, 82, 377, -239, 650, -141
76553, 84, 378, -234, 600, -134
