-------------------------------------ping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
7194, 24, 1272, -160, 860, -6
7296, 12, 1266, -96, 865, -4
7397, 0, 1260, -33, 870, -1
7498, -12, 1254, 31, 880, 1
7599, -24, 1248, 95, 890, 3
7699, -24, 1248, 95, 890, 4
7800, -24, 1248, 95, 890, 4
7901, 9, 1233, 53, 875, 2
8002, 42, 1218, 10, 860, -2
8103, 75, 1203, -33, 840, -8
8204, 108, 1188, -75, 820, -14
8305, 141, 1173, -118, 795, -21
8406, 174, 1158, -160, 770, -27
8507, 207, 1143, -203, 735, -33
8608, 240, 1128, -245, 700, -40
8709, 246, 1131, -239, 650, -45
8810, 252, 1134, -234, 600, -49
8911, 258, 1137, -228, 555, -52
9012, 264, 1140, -223, 510, -54
9113, 270, 1143, -217, 450, -56
9214, 276, 1146, -211, 390, -57
9316, 282, 1149, -206, 360, -58
9417, 288, 1152, -200, 330, -59
9518, 237, 1038, -177, 300, -58
9619, 186, 924, -154, 270, -55
9720, 135, 810, -131, 240, -49
9821, 84, 696, -108, 210, -41
9922, 33, 582, -84, 180, -32
10023, -18, 468, -61, 150, -22
10124, -69, 354, -38, 125, -12
10225, -120, 240, -15, 100, -2
10326, -105, 210, -13, 80, 6
10428, -90, 180, -11, 60, 13
10529, -75, 150, -9, 45, 18
10630, -60, 120, -8, 30, 21
10731, -45, 90, -6, 20, 22
10832, -30, 60, -4, 10, 19
10933, 0, 0, 0, 0, 15
11034, -15, 93, -1, 10, 9
11136, -30, 186, -1, 20, 5
11237, -45, 279, -2, 35, 2
11338, -60, 372, -3, 50, 3
11439, -75, 465, -3, 70, 5
11540, -90, 558, -4, 90, 10
11641, -105, 651, -4, 110, 15
11742, -120, 744, -5, 130, 19
11843, -132, 774, -16, 155, 23
11944, -144, 804, -28, 180, 26
12045, -156, 834, -39, 210, 29
12146, -168, 864, -50, 240, 31
12247, -180, 894, -61, 270, 34
12348, -192, 924, -73, 300, 36
12449, -204, 954, -84, 320, 39
12550, -216, 984, -95, 340, 41
12651, -153, 981, -102, 365, 41
12752, -90, 978, -109, 390, 39
