-------------------------------------
ng (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
8764, 42, 1218, 10, 860, -246
8865, 75, 1203, -33, 840, -243
8966, 108, 1188, -75, 820, -240
9067, 141, 1173, -118, 795, -237
9168, 174, 1158, -160, 770, -234
9269, 207, 1143, -203, 735, -231
9370, 240, 1128, -245, 700, -228
9472, 246, 1131, -239, 650, -226
9573, 252, 1134, -234, 600, -227
9674, 258, 1137, -228, 555, -228
9775, 264, 1140, -223, 510, -228
9876, 270, 1143, -217, 450, -229
9977, 276, 1146, -211, 390, -229
10078, 282, 1149, -206, 360, -230
10179, 288, 1152, -200, 330, -231
10280, 237, 1038, -177, 300, -229
10381, 186, 924, -154, 270, -225
10483, 135, 810, -131, 240, -219
10584, 84, 696, -108, 210, -212
10685, 33, 582, -84, 180, -202
10786, -18, 468, -61, 150, -191
10887, -69, 354, -38, 125, -178
10988, -120, 240, -15, 100, -163
11089, -105, 210, -13, 80, -146
11190, -90, 180, -11, 60, -128
11291, -75, 150, -9, 45, -110
11392, -60, 120, -8, 30, -93
11493, -45, 90, -6, 20, -77
11594, -30, 60, -4, 10, -62
11695, 0, 0, 0, 0, -48
11796, -15, 93, -1, 10, -36
11897, -30, 186, -1, 20, -25
11998, -45, 279, -2, 35, -17
12099, -60, 372, -3, 50, -10
12200, -75, 465, -3, 70, -5
12301, -90, 558, -4, 90, -2
12402, -105, 651, -4, 110, -1
12503, -120, 744, -5, 130, -4
12604, -132, 774, -16, 155, -8
12705, -144, 804, -28, 180, -15
12806, -156, 834, -39, 210, -23
12907, -168, 864, -50, 240, -34
13008, -180, 894, -61, 270, -46
13109, -192, 924, -73, 300, -60
13210, -204, 954, -84, 320, -76
13312, -216, 984, -95, 340, -94
13413, -153, 981, -102, 365, -113
13514, -90, 978, -109, 390, -130
13615, -27, 975, -116, 420, -144
13716, 36, 972, -123, 450, -157
13818, 99, 969, -129, 485, -168
13920, 162, 966, -136, 520, -177
14021, 225, 963, -143, 565, -185
14123, 288, 960, -150, 610, -190
14225, 255, 963, -189, 635, -193
14326, 222, 966, -229, 660, -195
14427, 189, 969, -268, 680, -194
14528, 156, 972, -308, 700, -195
14629, 123, 975, -347, 715, -195
14730, 90, 978, -386, 730, -196
14831, 57, 981, -426, 740, -196
14932, 24, 984, -465, 750, -197
15034, 30, 1023, -459, 770, -199
15135, 36, 1062, -453, 790, -203
15236, 42, 1101, -446, 800, -209
15337, 48, 1140, -440, 810, -216
15439, 54, 1179, -434, 815, -224
15540, 60, 1218, -428, 820, -231
15641, 66, 1257, -421, 825, -239
15742, 72, 1296, -415, 830, -246
15844, 60, 1290, -351, 840, -252
15945, 48, 1284, -288, 850, -256
16046, 36, 1278, -224, 855, -258
16147, 24, 1272, -160, 860, -258
16248, 12, 1266, -96, 865, -255
16349, 0, 1260, -33, 870, -253
16450, -12, 1254, 31, 880, -251
16552, -24, 1248, 95, 890, -250
16653, -24, 1248, 95, 890, -250
16754, -24, 1248, 95, 890, -250
16855, 9, 1233, 53, 875, -248
16956, 42, 1218, 10, 860, -246
17057, 75, 1203, -33, 840, -243
17158, 108, 1188, -75, 820, -240
17259, 141, 1173, -118, 795, -237
17360, 174, 1158, -160, 770, -234
17462, 207, 1143, -203, 735, -231
17563, 240, 1128, -245, 700, -228
17665, 246, 1131, -239, 650, -226
17766, 252, 1134, -234, 600, -227
17867, 258, 1137, -228, 555, -228
17968, 264, 1140, -223, 510, -228
18069, 270, 1143, -217, 450, -229
18170, 276, 1146, -211, 390, -229
18271, 282, 1149, -206, 360, -230
18372, 288, 1152, -200, 330, -231
18473, 237, 1038, -177, 300, -229
18575, 186, 924, -154, 270, -225
18676, 135, 810, -131, 240, -219
18777, 84, 696, -108, 210, -212
18878, 33, 582, -84, 180, -202
18979, -18, 468, -61, 150, -191
19080, -69, 354, -38, 125, -178
19182, -120, 240, -15, 100, -163
19283, -105, 210, -13, 80, -146
19384, -90, 180, -11, 60, -128
19485, -75, 150, -9, 45, -110
19586, -60, 120, -8, 30, -93
19687, -45, 90, -6, 20, -77
19788, -30, 60, -4, 10, -62
19889, 0, 0, 0, 0, -48
19990, -15, 93, -1, 10, -36
20091, -30, 186, -1, 20, -25
20192, -45, 279, -2, 35, -16
20293, -60, 372, -3, 50, -10
20395, -75, 465, -3, 70, -5
20496, -90, 558, -4, 90, -2
20597, -105, 651, -4, 110, -1
20698, -120, 744, -5, 130, -4
20799, -132, 774, -16, 155, -8
20900, -144, 804, -28, 180, -15
21001, -156, 834, -39, 210, -24
21102, -168, 864, -50, 240, -34
21203, -180, 894, -61, 270, -46
21306, -192, 924, -73, 300, -61
21407, -204, 954, -84, 320, -77
21508, -216, 984, -95, 340, -95
21610, -153, 981, -102, 365, -113
21711, -90, 978, -109, 390, -130
21812, -27, 975, -116, 420, -145
21913, 36, 972, -123, 450, -157
22014, 99, 969, -129, 485, -168
22116, 162, 966, -136, 520, -177
22217, 225, 963, -143, 565, -185
22318, 288, 960, -150, 610, -190
22420, 255, 963, -189, 635, -193
22522, 222, 966, -229, 660, -195
22623, 189, 969, -268, 680, -194
22724, 156, 972, -308, 700, -195
22825, 123, 975, -347, 715, -195
22927, 90, 978, -386, 730, -196
23028, 57, 981, -426, 740, -196
23130, 24, 984, -465, 750, -197
23231, 30, 1023, -459, 770, -199
23332, 36, 1062, -453, 790, -203
23433, 42, 1101, -446, 800, -209
